Cycle ID	Step ID	Step Name	Record ID	Time(h:min:s.ms)	Voltage(V)	Current(mA)	Capacity(mAh)	Energy(mWh)	Realtime	dQ/dV(mAh/V)
51	252	CC_Chg	2097121	1:37:47.500	4.1359	420.0100	684.5600	2639.1300	08/11/2024 19:14:39	0.0000
51	252	CC_Chg	2097122	1:37:48.000	4.1362	420.0100	684.6200	2639.3700	08/11/2024 19:14:40	194.3700
51	252	CC_Chg	2097123	1:37:48.500	4.1362	420.0100	684.6700	2639.6100	08/11/2024 19:14:40	0.0000
51	252	CC_Chg	2097124	1:37:49.000	4.1362	420.0100	684.7300	2639.8500	08/11/2024 19:14:41	0.0000
51	252	CC_Chg	2097125	1:37:49.500	4.1362	420.0100	684.7900	2640.0900	08/11/2024 19:14:41	0.0000
51	252	CC_Chg	2097126	1:37:50.000	4.1362	420.0100	684.8500	2640.3300	08/11/2024 19:14:42	0.0000
51	252	CC_Chg	2097127	1:37:50.500	4.1362	420.0100	684.9100	2640.5800	08/11/2024 19:14:42	0.0000
51	252	CC_Chg	2097128	1:37:51.000	4.1365	420.0100	684.9700	2640.8200	08/11/2024 19:14:43	194.3700
51	252	CC_Chg	2097129	1:37:51.500	4.1365	420.0100	685.0200	2641.0600	08/11/2024 19:14:43	0.0000
51	252	CC_Chg	2097130	1:37:52.000	4.1365	420.0100	685.0800	2641.3000	08/11/2024 19:14:44	0.0000
51	252	CC_Chg	2097131	1:37:52.500	4.1365	420.0100	685.1400	2641.5400	08/11/2024 19:14:44	0.0000
51	252	CC_Chg	2097132	1:37:53.000	4.1365	420.0100	685.2000	2641.7800	08/11/2024 19:14:45	0.0000
51	252	CC_Chg	2097133	1:37:53.500	4.1365	420.0100	685.2600	2642.0200	08/11/2024 19:14:45	0.0000
51	252	CC_Chg	2097134	1:37:54.000	4.1365	420.0100	685.3200	2642.2700	08/11/2024 19:14:46	0.0000
51	252	CC_Chg	2097135	1:37:54.500	4.1369	420.0100	685.3700	2642.5100	08/11/2024 19:14:46	145.8900
51	252	CC_Chg	2097136	1:37:55.000	4.1369	420.0100	685.4300	2642.7500	08/11/2024 19:14:47	0.0000
51	252	CC_Chg	2097137	1:37:55.500	4.1369	420.0100	685.4900	2642.9900	08/11/2024 19:14:47	0.0000
51	252	CC_Chg	2097138	1:37:56.000	4.1369	420.0100	685.5500	2643.2300	08/11/2024 19:14:48	0.0000
51	252	CC_Chg	2097139	1:37:56.500	4.1369	420.0100	685.6100	2643.4700	08/11/2024 19:14:48	0.0000
51	252	CC_Chg	2097140	1:37:57.000	4.1369	420.0100	685.6700	2643.7100	08/11/2024 19:14:49	0.0000
51	252	CC_Chg	2097141	1:37:57.500	4.1372	420.0100	685.7200	2643.9500	08/11/2024 19:14:49	194.6700
51	252	CC_Chg	2097142	1:37:58.000	4.1372	420.0100	685.7800	2644.2000	08/11/2024 19:14:50	0.0000
51	252	CC_Chg	2097143	1:37:58.500	4.1372	420.0100	685.8400	2644.4400	08/11/2024 19:14:50	0.0000
51	252	CC_Chg	2097144	1:37:59.000	4.1372	420.0100	685.9000	2644.6800	08/11/2024 19:14:51	0.0000
51	252	CC_Chg	2097145	1:37:59.500	4.1372	420.0100	685.9600	2644.9200	08/11/2024 19:14:51	0.0000
51	252	CC_Chg	2097146	1:38:00.000	4.1372	420.0100	686.0200	2645.1600	08/11/2024 19:14:52	0.0000
51	252	CC_Chg	2097147	1:38:00.500	4.1372	420.0100	686.0700	2645.4000	08/11/2024 19:14:52	0.0000
51	252	CC_Chg	2097148	1:38:01.000	4.1372	420.0100	686.1300	2645.6400	08/11/2024 19:14:53	0.0000
51	252	CC_Chg	2097149	1:38:01.500	4.1375	420.0100	686.1900	2645.8900	08/11/2024 19:14:53	194.6700
51	252	CC_Chg	2097150	1:38:02.000	4.1375	420.0100	686.2500	2646.1300	08/11/2024 19:14:54	0.0000
51	252	CC_Chg	2097151	1:38:02.500	4.1375	420.0100	686.3100	2646.3700	08/11/2024 19:14:54	0.0000
51	252	CC_Chg	2097152	1:38:03.000	4.1375	420.0100	686.3700	2646.6100	08/11/2024 19:14:55	0.0000
51	252	CC_Chg	2097153	1:38:03.500	4.1375	420.0100	686.4200	2646.8500	08/11/2024 19:14:55	0.0000
51	252	CC_Chg	2097154	1:38:04.000	4.1378	420.0100	686.4800	2647.0900	08/11/2024 19:14:56	194.2200
51	252	CC_Chg	2097155	1:38:04.500	4.1378	420.0100	686.5400	2647.3300	08/11/2024 19:14:56	0.0000
51	252	CC_Chg	2097156	1:38:05.000	4.1378	420.0100	686.6000	2647.5700	08/11/2024 19:14:57	0.0000
51	252	CC_Chg	2097157	1:38:05.500	4.1378	420.0100	686.6600	2647.8200	08/11/2024 19:14:57	0.0000
51	252	CC_Chg	2097158	1:38:06.000	4.1378	420.0100	686.7200	2648.0600	08/11/2024 19:14:58	0.0000
51	252	CC_Chg	2097159	1:38:06.500	4.1378	420.0100	686.7700	2648.3000	08/11/2024 19:14:58	0.0000
51	252	CC_Chg	2097160	1:38:07.000	4.1378	420.0100	686.8300	2648.5400	08/11/2024 19:14:59	0.0000
51	252	CC_Chg	2097161	1:38:07.500	4.1381	420.0100	686.8900	2648.7800	08/11/2024 19:14:59	194.2200
51	252	CC_Chg	2097162	1:38:08.000	4.1378	420.0100	686.9500	2649.0200	08/11/2024 19:15:00	-194.3700
51	252	CC_Chg	2097163	1:38:08.500	4.1381	420.0100	687.0100	2649.2600	08/11/2024 19:15:00	194.6700
51	252	CC_Chg	2097164	1:38:09.000	4.1381	420.0100	687.0700	2649.5100	08/11/2024 19:15:01	0.0000
51	252	CC_Chg	2097165	1:38:09.500	4.1381	420.0100	687.1200	2649.7500	08/11/2024 19:15:01	0.0000
51	252	CC_Chg	2097166	1:38:10.000	4.1384	420.0100	687.1800	2649.9900	08/11/2024 19:15:02	194.5200
51	252	CC_Chg	2097167	1:38:10.500	4.1384	420.0100	687.2400	2650.2300	08/11/2024 19:15:02	0.0000
51	252	CC_Chg	2097168	1:38:11.000	4.1384	420.0100	687.3000	2650.4700	08/11/2024 19:15:03	0.0000
51	252	CC_Chg	2097169	1:38:11.500	4.1384	420.0100	687.3600	2650.7100	08/11/2024 19:15:03	0.0000
51	252	CC_Chg	2097170	1:38:12.000	4.1384	420.0100	687.4200	2650.9500	08/11/2024 19:15:04	0.0000
51	252	CC_Chg	2097171	1:38:12.500	4.1384	420.0100	687.4700	2651.2000	08/11/2024 19:15:04	0.0000
51	252	CC_Chg	2097172	1:38:13.000	4.1384	420.0100	687.5300	2651.4400	08/11/2024 19:15:05	0.0000
51	252	CC_Chg	2097173	1:38:13.500	4.1387	420.0100	687.5900	2651.6800	08/11/2024 19:15:05	194.2200
51	252	CC_Chg	2097174	1:38:14.000	4.1387	420.0100	687.6500	2651.9200	08/11/2024 19:15:06	0.0000
51	252	CC_Chg	2097175	1:38:14.500	4.1387	420.0100	687.7100	2652.1600	08/11/2024 19:15:06	0.0000
51	252	CC_Chg	2097176	1:38:15.000	4.1387	420.0100	687.7700	2652.4000	08/11/2024 19:15:07	0.0000
51	252	CC_Chg	2097177	1:38:15.500	4.1387	420.0100	687.8200	2652.6400	08/11/2024 19:15:07	0.0000
51	252	CC_Chg	2097178	1:38:16.000	4.1387	420.0100	687.8800	2652.8900	08/11/2024 19:15:08	0.0000
51	252	CC_Chg	2097179	1:38:16.500	4.1387	420.0100	687.9400	2653.1300	08/11/2024 19:15:08	0.0000
51	252	CC_Chg	2097180	1:38:17.000	4.1390	420.0100	688.0000	2653.3700	08/11/2024 19:15:09	194.6700
51	252	CC_Chg	2097181	1:38:17.500	4.1390	420.0100	688.0600	2653.6100	08/11/2024 19:15:09	0.0000
51	252	CC_Chg	2097182	1:38:18.000	4.1390	420.0100	688.1200	2653.8500	08/11/2024 19:15:10	0.0000
51	252	CC_Chg	2097183	1:38:18.500	4.1390	420.0100	688.1700	2654.0900	08/11/2024 19:15:10	0.0000
51	252	CC_Chg	2097184	1:38:19.000	4.1390	420.0100	688.2300	2654.3300	08/11/2024 19:15:11	0.0000
51	252	CC_Chg	2097185	1:38:19.500	4.1390	420.0100	688.2900	2654.5800	08/11/2024 19:15:11	0.0000
51	252	CC_Chg	2097186	1:38:20.000	4.1393	420.0100	688.3500	2654.8200	08/11/2024 19:15:12	194.5200
51	252	CC_Chg	2097187	1:38:20.500	4.1393	420.0100	688.4100	2655.0600	08/11/2024 19:15:12	0.0000
51	252	CC_Chg	2097188	1:38:21.000	4.1393	420.0100	688.4700	2655.3000	08/11/2024 19:15:13	0.0000
51	252	CC_Chg	2097189	1:38:21.500	4.1393	420.0100	688.5200	2655.5400	08/11/2024 19:15:13	0.0000
51	252	CC_Chg	2097190	1:38:22.000	4.1393	420.0100	688.5800	2655.7800	08/11/2024 19:15:14	0.0000
51	252	CC_Chg	2097191	1:38:22.500	4.1393	420.0100	688.6400	2656.0200	08/11/2024 19:15:14	0.0000
51	252	CC_Chg	2097192	1:38:23.000	4.1393	420.0100	688.7000	2656.2700	08/11/2024 19:15:15	0.0000
51	252	CC_Chg	2097193	1:38:23.500	4.1393	420.0100	688.7600	2656.5100	08/11/2024 19:15:15	0.0000
51	252	CC_Chg	2097194	1:38:24.000	4.1396	420.0100	688.8200	2656.7500	08/11/2024 19:15:16	194.5200
51	252	CC_Chg	2097195	1:38:24.500	4.1396	420.0100	688.8700	2656.9900	08/11/2024 19:15:16	0.0000
51	252	CC_Chg	2097196	1:38:25.000	4.1396	420.0100	688.9300	2657.2300	08/11/2024 19:15:17	0.0000
51	252	CC_Chg	2097197	1:38:25.500	4.1396	420.0100	688.9900	2657.4700	08/11/2024 19:15:17	0.0000
51	252	CC_Chg	2097198	1:38:26.000	4.1396	420.0100	689.0500	2657.7100	08/11/2024 19:15:18	0.0000
51	252	CC_Chg	2097199	1:38:26.500	4.1400	420.0100	689.1100	2657.9600	08/11/2024 19:15:18	145.7800
51	252	CC_Chg	2097200	1:38:27.000	4.1400	420.0100	689.1700	2658.2000	08/11/2024 19:15:19	0.0000
51	252	CC_Chg	2097201	1:38:27.500	4.1400	420.0100	689.2200	2658.4400	08/11/2024 19:15:19	0.0000
51	252	CC_Chg	2097202	1:38:28.000	4.1400	420.0100	689.2800	2658.6800	08/11/2024 19:15:20	0.0000
51	252	CC_Chg	2097203	1:38:28.500	4.1400	420.0100	689.3400	2658.9200	08/11/2024 19:15:20	0.0000
51	252	CC_Chg	2097204	1:38:29.000	4.1400	420.0100	689.4000	2659.1600	08/11/2024 19:15:21	0.0000
51	252	CC_Chg	2097205	1:38:29.500	4.1400	420.0100	689.4600	2659.4100	08/11/2024 19:15:21	0.0000
51	252	CC_Chg	2097206	1:38:30.000	4.1403	420.0100	689.5200	2659.6500	08/11/2024 19:15:22	194.5200
51	252	CC_Chg	2097207	1:38:30.500	4.1403	420.0100	689.5700	2659.8900	08/11/2024 19:15:22	0.0000
51	252	CC_Chg	2097208	1:38:31.000	4.1403	420.0100	689.6300	2660.1300	08/11/2024 19:15:23	0.0000
51	252	CC_Chg	2097209	1:38:31.500	4.1403	420.0100	689.6900	2660.3700	08/11/2024 19:15:23	0.0000
51	252	CC_Chg	2097210	1:38:32.000	4.1403	420.0100	689.7500	2660.6100	08/11/2024 19:15:24	0.0000
51	252	CC_Chg	2097211	1:38:32.500	4.1403	420.0100	689.8100	2660.8500	08/11/2024 19:15:24	0.0000
51	252	CC_Chg	2097212	1:38:33.000	4.1406	420.0100	689.8700	2661.1000	08/11/2024 19:15:25	194.5200
51	252	CC_Chg	2097213	1:38:33.500	4.1406	420.0100	689.9200	2661.3400	08/11/2024 19:15:25	0.0000
51	252	CC_Chg	2097214	1:38:34.000	4.1406	420.0100	689.9800	2661.5800	08/11/2024 19:15:26	0.0000
51	252	CC_Chg	2097215	1:38:34.500	4.1406	420.0100	690.0400	2661.8200	08/11/2024 19:15:26	0.0000
51	252	CC_Chg	2097216	1:38:35.000	4.1406	420.0100	690.1000	2662.0600	08/11/2024 19:15:27	0.0000
