Cycle ID	Step ID	Step Name	Record ID	Time(h:min:s.ms)	Voltage(V)	Current(mA)	Capacity(mAh)	Energy(mWh)	Realtime	dQ/dV(mAh/V)
1	1	Rest	1	0:00:00.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:28:47	0.0000
1	1	Rest	2	0:00:03.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:28:50	0.0000
1	1	Rest	3	0:00:06.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:28:53	0.0000
1	1	Rest	4	0:00:09.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:28:56	0.0000
1	1	Rest	5	0:00:12.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:28:59	0.0000
1	1	Rest	6	0:00:15.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:29:02	0.0000
1	1	Rest	7	0:00:18.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:29:05	0.0000
1	1	Rest	8	0:00:21.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:29:08	0.0000
1	1	Rest	9	0:00:24.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:29:11	0.0000
1	1	Rest	10	0:00:27.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:29:14	0.0000
1	1	Rest	11	0:00:30.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:29:17	0.0000
1	1	Rest	12	0:00:33.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:29:20	0.0000
1	1	Rest	13	0:00:36.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:29:23	0.0000
1	1	Rest	14	0:00:39.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:29:26	0.0000
1	1	Rest	15	0:00:42.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:29:29	0.0000
1	1	Rest	16	0:00:45.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:29:32	0.0000
1	1	Rest	17	0:00:48.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:29:35	0.0000
1	1	Rest	18	0:00:51.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:29:38	0.0000
1	1	Rest	19	0:00:54.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:29:41	0.0000
1	1	Rest	20	0:00:57.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:29:44	0.0000
1	1	Rest	21	0:01:00.000	4.1539	0.0000	0.0000	0.0000	05/30/2024 14:29:47	0.0000
1	2	CC_Chg	22	0:00:00.000	4.1837	209.9400	0.0000	0.0000	05/30/2024 14:29:47	0.0000
1	2	CC_Chg	23	0:00:03.000	4.1917	210.1900	0.1800	0.7300	05/30/2024 14:29:50	21.8900
1	2	CC_Chg	24	0:00:06.000	4.1927	210.1900	0.3500	1.4700	05/30/2024 14:29:53	175.1600
1	2	CC_Chg	25	0:00:09.000	4.1933	210.1900	0.5300	2.2000	05/30/2024 14:29:56	291.9300
1	2	CC_Chg	26	0:00:12.000	4.1939	210.1900	0.7000	2.9400	05/30/2024 14:29:59	291.9300
1	2	CC_Chg	27	0:00:15.000	4.1942	210.1900	0.8800	3.6700	05/30/2024 14:30:02	583.8600
1	2	CC_Chg	28	0:00:18.000	4.1948	210.1900	1.0500	4.4100	05/30/2024 14:30:05	291.9300
1	2	CC_Chg	29	0:00:21.000	4.1951	210.1900	1.2300	5.1400	05/30/2024 14:30:08	583.8600
1	2	CC_Chg	30	0:00:24.000	4.1958	210.1900	1.4000	5.8800	05/30/2024 14:30:11	250.2300
1	2	CC_Chg	31	0:00:27.000	4.1961	210.1900	1.5800	6.6100	05/30/2024 14:30:14	583.8600
1	2	CC_Chg	32	0:00:30.000	4.1964	210.1900	1.7500	7.3500	05/30/2024 14:30:17	583.8600
1	2	CC_Chg	33	0:00:33.000	4.1970	210.1900	1.9300	8.0800	05/30/2024 14:30:20	291.9300
1	2	CC_Chg	34	0:00:36.000	4.1970	210.1900	2.1000	8.8200	05/30/2024 14:30:23	0.0000
1	2	CC_Chg	35	0:00:39.000	4.1973	210.1900	2.2800	9.5500	05/30/2024 14:30:26	583.8600
1	2	CC_Chg	36	0:00:42.000	4.1976	210.1900	2.4500	10.2900	05/30/2024 14:30:29	583.8600
1	2	CC_Chg	37	0:00:45.000	4.1985	210.1900	2.6300	11.0200	05/30/2024 14:30:32	194.6200
1	2	CC_Chg	38	0:00:48.000	4.1989	210.1900	2.8000	11.7600	05/30/2024 14:30:35	437.9000
1	2	CC_Chg	39	0:00:51.000	4.1992	210.1900	2.9800	12.4900	05/30/2024 14:30:38	583.8600
1	2	CC_Chg	40	0:00:54.000	4.1992	210.1900	3.1500	13.2300	05/30/2024 14:30:41	0.0000
1	2	CC_Chg	41	0:00:57.000	4.1995	210.1900	3.3300	13.9600	05/30/2024 14:30:44	583.8600
1	2	CC_Chg	42	0:01:00.000	4.1998	210.1900	3.5000	14.7000	05/30/2024 14:30:47	583.8600
1	2	CC_Chg	43	0:01:01.700	4.2001	210.1900	3.6000	15.1200	05/30/2024 14:30:49	330.8500
1	3	CV_Chg	44	0:00:00.000	4.1989	210.0600	0.0000	0.0000	05/30/2024 14:30:49	3001.9800
1	3	CV_Chg	45	0:00:03.000	4.1995	207.7700	0.1700	0.7300	05/30/2024 14:30:52	289.7100
1	3	CV_Chg	46	0:00:06.000	4.1998	206.5900	0.3500	1.4600	05/30/2024 14:30:55	575.4600
1	3	CV_Chg	47	0:00:09.000	4.1998	205.2900	0.5200	2.1800	05/30/2024 14:30:58	0.0000
1	3	CV_Chg	48	0:00:12.000	4.1998	204.1100	0.6900	2.8900	05/30/2024 14:31:01	0.0000
1	3	CV_Chg	49	0:00:15.000	4.1998	202.9300	0.8600	3.6000	05/30/2024 14:31:04	0.0000
1	3	CV_Chg	50	0:00:18.000	4.1995	201.7600	1.0300	4.3100	05/30/2024 14:31:07	-562.0000
1	3	CV_Chg	51	0:00:21.000	4.1998	200.6400	1.1900	5.0200	05/30/2024 14:31:10	558.9400
1	3	CV_Chg	52	0:00:24.000	4.1998	199.4600	1.3600	5.7200	05/30/2024 14:31:13	0.0000
1	3	CV_Chg	53	0:00:27.000	4.1995	198.3500	1.5300	6.4100	05/30/2024 14:31:16	-552.5100
