Cycle ID	Step ID	Step Name	Record ID	Time(h:min:s.ms)	Voltage(V)	Current(mA)	Capacity(mAh)	Energy(mWh)	Realtime	dQ/dV(mAh/V)
51	252	CC_Chg	3997636	1:09:44.000	3.6517	420.01	488.15	1724.91	11/10/2024 16:19:23	194.37
51	252	CC_Chg	3997637	1:09:44.500	3.6514	420.01	488.21	1725.12	11/10/2024 16:19:23	-194.52
51	252	CC_Chg	3997638	1:09:45.000	3.6517	420.01	488.26	1725.34	11/10/2024 16:19:24	194.52
51	252	CC_Chg	3997639	1:09:45.500	3.6517	420.01	488.32	1725.55	11/10/2024 16:19:24	0.0
51	252	CC_Chg	3997640	1:09:46.000	3.6517	420.01	488.38	1725.76	11/10/2024 16:19:25	0.0
51	252	CC_Chg	3997641	1:09:46.500	3.6517	420.01	488.44	1725.98	11/10/2024 16:19:25	0.0
51	252	CC_Chg	3997642	1:09:47.000	3.6517	420.01	488.5	1726.19	11/10/2024 16:19:26	0.0
51	252	CC_Chg	3997643	1:09:47.500	3.6517	420.01	488.56	1726.4	11/10/2024 16:19:26	0.0
51	252	CC_Chg	3997644	1:09:48.000	3.6517	420.01	488.61	1726.62	11/10/2024 16:19:27	0.0
51	252	CC_Chg	3997645	1:09:48.500	3.6517	420.01	488.67	1726.83	11/10/2024 16:19:27	0.0
51	252	CC_Chg	3997646	1:09:49.000	3.6517	420.01	488.73	1727.04	11/10/2024 16:19:28	0.0
51	252	CC_Chg	3997647	1:09:49.500	3.6517	420.01	488.79	1727.25	11/10/2024 16:19:28	0.0
51	252	CC_Chg	3997648	1:09:50.000	3.6517	420.01	488.85	1727.47	11/10/2024 16:19:29	0.0
51	252	CC_Chg	3997649	1:09:50.500	3.6517	420.01	488.91	1727.68	11/10/2024 16:19:29	0.0
51	252	CC_Chg	3997650	1:09:51.000	3.6517	420.01	488.96	1727.89	11/10/2024 16:19:30	0.0
51	252	CC_Chg	3997651	1:09:51.500	3.6517	420.01	489.02	1728.11	11/10/2024 16:19:30	0.0
51	252	CC_Chg	3997652	1:09:52.000	3.6517	420.01	489.08	1728.32	11/10/2024 16:19:31	0.0
51	252	CC_Chg	3997653	1:09:52.500	3.6517	420.01	489.14	1728.53	11/10/2024 16:19:31	0.0
51	252	CC_Chg	3997654	1:09:53.000	3.6517	420.01	489.2	1728.75	11/10/2024 16:19:32	0.0
51	252	CC_Chg	3997655	1:09:53.500	3.6517	420.01	489.26	1728.96	11/10/2024 16:19:32	0.0
51	252	CC_Chg	3997656	1:09:54.000	3.6517	420.01	489.31	1729.17	11/10/2024 16:19:33	0.0
51	252	CC_Chg	3997657	1:09:54.500	3.6517	420.01	489.37	1729.39	11/10/2024 16:19:33	0.0
51	252	CC_Chg	3997658	1:09:55.000	3.6517	420.01	489.43	1729.6	11/10/2024 16:19:34	0.0
51	252	CC_Chg	3997659	1:09:55.500	3.6517	420.01	489.49	1729.81	11/10/2024 16:19:34	0.0
51	252	CC_Chg	3997660	1:09:56.000	3.6517	420.01	489.55	1730.02	11/10/2024 16:19:35	0.0
51	252	CC_Chg	3997661	1:09:56.500	3.6517	420.01	489.61	1730.24	11/10/2024 16:19:35	0.0
51	252	CC_Chg	3997662	1:09:57.000	3.6517	420.01	489.66	1730.45	11/10/2024 16:19:36	0.0
51	252	CC_Chg	3997663	1:09:57.500	3.6517	420.01	489.72	1730.66	11/10/2024 16:19:36	0.0
51	252	CC_Chg	3997664	1:09:58.000	3.652	420.01	489.78	1730.88	11/10/2024 16:19:37	194.37
51	252	CC_Chg	3997665	1:09:58.500	3.6517	420.01	489.84	1731.09	11/10/2024 16:19:37	-194.52
51	252	CC_Chg	3997666	1:09:59.000	3.6517	420.01	489.9	1731.3	11/10/2024 16:19:38	0.0
51	252	CC_Chg	3997667	1:09:59.500	3.652	420.01	489.96	1731.52	11/10/2024 16:19:38	194.52
51	252	CC_Chg	3997668	1:10:00.000	3.652	420.01	490.01	1731.73	11/10/2024 16:19:39	0.0
51	252	CC_Chg	3997669	1:10:00.500	3.652	420.01	490.07	1731.94	11/10/2024 16:19:39	0.0
51	252	CC_Chg	3997670	1:10:01.000	3.652	420.01	490.13	1732.15	11/10/2024 16:19:40	0.0
51	252	CC_Chg	3997671	1:10:01.500	3.652	420.01	490.19	1732.37	11/10/2024 16:19:40	0.0
51	252	CC_Chg	3997672	1:10:02.000	3.652	420.01	490.25	1732.58	11/10/2024 16:19:41	0.0
51	252	CC_Chg	3997673	1:10:02.500	3.652	420.01	490.31	1732.79	11/10/2024 16:19:41	0.0
51	252	CC_Chg	3997674	1:10:03.000	3.652	420.01	490.36	1733.01	11/10/2024 16:19:42	0.0
51	252	CC_Chg	3997675	1:10:03.500	3.652	420.01	490.42	1733.22	11/10/2024 16:19:42	0.0
51	252	CC_Chg	3997676	1:10:04.000	3.652	420.01	490.48	1733.43	11/10/2024 16:19:43	0.0
51	252	CC_Chg	3997677	1:10:04.500	3.652	420.01	490.54	1733.65	11/10/2024 16:19:43	0.0
51	252	CC_Chg	3997678	1:10:05.000	3.652	420.01	490.6	1733.86	11/10/2024 16:19:44	0.0
51	252	CC_Chg	3997679	1:10:05.500	3.652	420.01	490.66	1734.07	11/10/2024 16:19:44	0.0
51	252	CC_Chg	3997680	1:10:06.000	3.652	420.01	490.71	1734.28	11/10/2024 16:19:45	0.0
51	252	CC_Chg	3997681	1:10:06.500	3.652	420.01	490.77	1734.5	11/10/2024 16:19:45	0.0
51	252	CC_Chg	3997682	1:10:07.000	3.652	420.01	490.83	1734.71	11/10/2024 16:19:46	0.0
51	252	CC_Chg	3997683	1:10:07.500	3.652	420.01	490.89	1734.92	11/10/2024 16:19:46	0.0
51	252	CC_Chg	3997684	1:10:08.000	3.652	420.01	490.95	1735.14	11/10/2024 16:19:47	0.0
51	252	CC_Chg	3997685	1:10:08.500	3.652	420.01	491.01	1735.35	11/10/2024 16:19:47	0.0
51	252	CC_Chg	3997686	1:10:09.000	3.652	420.01	491.06	1735.56	11/10/2024 16:19:48	0.0
51	252	CC_Chg	3997687	1:10:09.500	3.652	420.01	491.12	1735.78	11/10/2024 16:19:48	0.0
51	252	CC_Chg	3997688	1:10:10.000	3.652	420.01	491.18	1735.99	11/10/2024 16:19:49	0.0
51	252	CC_Chg	3997689	1:10:10.500	3.652	420.01	491.24	1736.2	11/10/2024 16:19:49	0.0
51	252	CC_Chg	3997690	1:10:11.000	3.6523	420.01	491.3	1736.42	11/10/2024 16:19:50	194.67
51	252	CC_Chg	3997691	1:10:11.500	3.652	420.01	491.36	1736.63	11/10/2024 16:19:50	-194.37
51	252	CC_Chg	3997692	1:10:12.000	3.652	420.01	491.41	1736.84	11/10/2024 16:19:51	0.0
51	252	CC_Chg	3997693	1:10:12.500	3.6523	420.01	491.47	1737.05	11/10/2024 16:19:51	194.37
51	252	CC_Chg	3997694	1:10:13.000	3.652	420.01	491.53	1737.27	11/10/2024 16:19:52	-194.52
51	252	CC_Chg	3997695	1:10:13.500	3.6523	420.01	491.59	1737.48	11/10/2024 16:19:52	194.22
51	252	CC_Chg	3997696	1:10:14.000	3.6523	420.01	491.65	1737.69	11/10/2024 16:19:53	0.0
51	252	CC_Chg	3997697	1:10:14.500	3.6523	420.01	491.71	1737.91	11/10/2024 16:19:53	0.0
51	252	CC_Chg	3997698	1:10:15.000	3.6523	420.01	491.76	1738.12	11/10/2024 16:19:54	0.0
51	252	CC_Chg	3997699	1:10:15.500	3.652	420.01	491.82	1738.33	11/10/2024 16:19:54	-194.37
51	252	CC_Chg	3997700	1:10:16.000	3.6523	420.01	491.88	1738.55	11/10/2024 16:19:55	194.67
51	252	CC_Chg	3997701	1:10:16.500	3.6523	420.01	491.94	1738.76	11/10/2024 16:19:55	0.0
51	252	CC_Chg	3997702	1:10:17.000	3.6523	420.01	492.0	1738.97	11/10/2024 16:19:56	0.0
51	252	CC_Chg	3997703	1:10:17.500	3.6523	420.01	492.06	1739.19	11/10/2024 16:19:56	0.0
51	252	CC_Chg	3997704	1:10:18.000	3.6523	420.01	492.11	1739.4	11/10/2024 16:19:57	0.0
51	252	CC_Chg	3997705	1:10:18.500	3.6523	420.01	492.17	1739.61	11/10/2024 16:19:57	0.0
51	252	CC_Chg	3997706	1:10:19.000	3.6523	420.01	492.23	1739.82	11/10/2024 16:19:58	0.0
51	252	CC_Chg	3997707	1:10:19.500	3.6523	420.01	492.29	1740.04	11/10/2024 16:19:58	0.0
51	252	CC_Chg	3997708	1:10:20.000	3.6523	420.01	492.35	1740.25	11/10/2024 16:19:59	0.0
51	252	CC_Chg	3997709	1:10:20.500	3.6523	420.01	492.41	1740.46	11/10/2024 16:19:59	0.0
51	252	CC_Chg	3997710	1:10:21.000	3.6523	420.01	492.46	1740.68	11/10/2024 16:20:00	0.0
51	252	CC_Chg	3997711	1:10:21.500	3.6523	420.01	492.52	1740.89	11/10/2024 16:20:00	0.0
51	252	CC_Chg	3997712	1:10:22.000	3.6523	420.01	492.58	1741.1	11/10/2024 16:20:01	0.0
51	252	CC_Chg	3997713	1:10:22.500	3.6523	420.01	492.64	1741.32	11/10/2024 16:20:01	0.0
51	252	CC_Chg	3997714	1:10:23.000	3.6523	420.01	492.7	1741.53	11/10/2024 16:20:02	0.0
51	252	CC_Chg	3997715	1:10:23.500	3.6523	420.01	492.76	1741.74	11/10/2024 16:20:02	0.0
51	252	CC_Chg	3997716	1:10:24.000	3.6523	420.01	492.81	1741.95	11/10/2024 16:20:03	0.0
51	252	CC_Chg	3997717	1:10:24.500	3.6523	420.01	492.87	1742.17	11/10/2024 16:20:03	0.0
51	252	CC_Chg	3997718	1:10:25.000	3.6523	420.01	492.93	1742.38	11/10/2024 16:20:04	0.0
51	252	CC_Chg	3997719	1:10:25.500	3.6523	420.01	492.99	1742.59	11/10/2024 16:20:04	0.0
51	252	CC_Chg	3997720	1:10:26.000	3.6523	420.01	493.05	1742.81	11/10/2024 16:20:05	0.0
51	252	CC_Chg	3997721	1:10:26.500	3.6523	420.01	493.11	1743.02	11/10/2024 16:20:05	0.0
51	252	CC_Chg	3997722	1:10:27.000	3.6526	420.01	493.16	1743.23	11/10/2024 16:20:06	194.37
51	252	CC_Chg	3997723	1:10:27.500	3.6526	420.01	493.22	1743.45	11/10/2024 16:20:06	0.0
51	252	CC_Chg	3997724	1:10:28.000	3.6523	420.01	493.28	1743.66	11/10/2024 16:20:07	-194.37
51	252	CC_Chg	3997725	1:10:28.500	3.6526	420.01	493.34	1743.87	11/10/2024 16:20:07	194.52
51	252	CC_Chg	3997726	1:10:29.000	3.6523	420.01	493.4	1744.09	11/10/2024 16:20:08	-194.37
51	252	CC_Chg	3997727	1:10:29.500	3.6526	420.01	493.46	1744.3	11/10/2024 16:20:08	194.52
51	252	CC_Chg	3997728	1:10:30.000	3.6526	420.01	493.51	1744.51	11/10/2024 16:20:09	0.0
