Cycle,Capacity,SOH
[1],2081.65,99.12619047619047
[2],2082.97,99.18904761904761
[3],2084.21,99.24809523809523
[4],2085.16,99.29333333333332
[5],2085.69,99.31857142857143
[6],2085.83,99.32523809523809
[7],2085.81,99.32428571428571
[8],2086.0,99.33333333333333
[9],2085.74,99.32095238095236
[10],2085.64,99.31619047619047
[11],2085.18,99.2942857142857
[12],2085.05,99.28809523809524
[13],2084.65,99.26904761904763
[14],2084.36,99.2552380952381
[15],2084.05,99.2404761904762
[16],2083.41,99.21
[17],2083.26,99.20285714285714
[18],2082.67,99.17476190476191
[19],2082.39,99.16142857142857
[20],2081.71,99.12904761904761
[21],2081.55,99.12142857142858
[22],2081.23,99.10619047619048
[23],2080.85,99.08809523809524
[24],2080.61,99.07666666666667
[25],2080.44,99.06857142857143
[26],2080.29,99.06142857142856
[27],2076.28,98.8704761904762
[28],2075.69,98.84238095238096
[29],2073.62,98.74380952380952
[30],2073.62,98.74380952380952
[31],2073.59,98.74238095238096
[32],2074.23,98.77285714285713
[33],2074.24,98.77333333333333
[34],2074.2,98.77142857142857
[35],2074.47,98.7842857142857
[36],2074.23,98.77285714285713
[37],2074.21,98.77190476190476
[38],2072.15,98.67380952380952
[39],2072.71,98.7004761904762
[40],2072.76,98.70285714285714
[41],2073.0,98.71428571428571
[42],2072.54,98.69238095238096
[43],2072.36,98.68380952380953
[44],2072.07,98.67000000000002
[45],2072.0,98.66666666666667
[46],2071.94,98.66380952380953
[47],2069.63,98.55380952380953
[48],2069.67,98.55571428571429
[49],2069.69,98.55666666666667
[50],2069.82,98.56285714285715
[51],1984.68,94.50857142857143
